Class,Message
ham,Ü v ma fan...
spam,Claim your exclusive reward by clicking here: bit.ly/6961. Act fast!
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
ham,Yes..gauti and sehwag out of odi series.
spam,Your account has been compromised! Reset your password here: bit.ly/6325
ham,Also maaaan are you missing out
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/7216
ham,Are you free now?can i call now?
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
ham,Good morning princess! How are you?
ham,1's finish meeting call me.
ham,Did u see what I posted on your Facebook?
spam,WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,"sure, but make sure he knows we ain't smokin yet"
ham,R we still meeting 4 dinner tonight?
ham,Lol now I'm after that hot air balloon!
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/6478
spam,New job alert! Earn $153/day from home. No experience needed. Apply now!
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,Thanks for ve lovely wisheds. You rock
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
ham,Have you always been saying welp?
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
ham,K.:)you are the only girl waiting in reception ah?
ham,See the forwarding message for proof
ham,"Found it, ENC  &lt;#&gt; , where you at?"
ham,"Its good, we'll find a way"
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
ham,Did u receive my msg?
spam,Your account has been compromised! Reset your password here: bit.ly/5366
ham,Lmao. Take a pic and send it to me.
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
spam,Claim your exclusive reward by clicking here: bit.ly/8598. Act fast!
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/3111
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
ham,Gudnite....tc...practice going on
ham,U too...
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?
spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!"
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/8682
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/7080
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/7047
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
ham,"alright, I'll make sure the car is back tonight"
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/3992
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/9998
ham,Dunno dat's wat he told me. Ok lor...
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
spam,Your account has been compromised! Reset your password here: bit.ly/9769
ham,No dear i do have free messages without any recharge. Hi hi hi
ham,Welp apparently he retired
spam,Claim your exclusive reward by clicking here: bit.ly/1660. Act fast!
spam,Limited time offer! Get 84% off on all products. Use code SPAM76 at checkout.
spam,Limited time offer! Get 35% off on all products. Use code SPAM35 at checkout.
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,ELLO BABE U OK?
ham,I will once i get home
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/9377
spam,You have been selected for a cash prize of $3723. Respond with 'YES' to claim.
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
spam,Claim your exclusive reward by clicking here: bit.ly/1523. Act fast!
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/6496
spam,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
